observability_agent  | 2026/05/12 05:06:11 INFO starting observability agent
observability_agent  | 2026/05/12 05:06:11 INFO Prometheus metrics endpoint listening port=2112
observability_agent  | 2026/05/12 05:06:11 INFO database connected
observability_agent  | 2026/05/12 05:06:11 INFO sampler configured threshold_ms=5
observability_agent  | 2026/05/12 05:06:11 INFO agent ready otlp_grpc_port=4317 prometheus_port=2112 flush_interval=1m0s sample_threshold_ms=5
observability_agent  | 2026/05/12 05:06:11 INFO flusher started interval=1m0s
observability_agent  | 2026/05/12 05:06:11 INFO OTLP gRPC receiver listening port=4317
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.151
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.387
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.226
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.822
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.025
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.881
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.919
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.217
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.925
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.172
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.775
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.886
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.945
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.022
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=19.946
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.788
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.879
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.980
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.796
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.822
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.002
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.743
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.765
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.360
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.871
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.763
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.322
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.875
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=20.937
observability_agent  | 2026/05/12 05:06:20 INFO span buffered service=python-service operation="GET /work" duration_ms=21.481
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /upstream" duration_ms=26.791
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /work" duration_ms=20.918
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /upstream" duration_ms=24.569
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /work" duration_ms=20.830
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /upstream" duration_ms=23.123
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /work" duration_ms=20.960
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /upstream" duration_ms=23.121
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /work" duration_ms=20.868
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /upstream" duration_ms=22.920
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /work" duration_ms=20.820
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /upstream" duration_ms=22.838
